Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,261024044,799115599,261024044
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,226867721,701802597,226867721
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,246516546,723948237,246516546
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,244531635,757520503,244531635
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,178359528,548128642,178359528
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,9807267,21358936,9807267
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,8421217,16771488,8421217
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,8999177,20352357,8999177
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,6107769,15932871,6107769
Burma (Myanmar),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,9413160,21619677,9413160
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,102068617,324531790,102068617
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,95797250,276208206,95797250
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,110847279,326574759,110847279
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,96220106,303799193,96220106
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,99695611,280892127,99695611
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,860364971,1602622382,860364971
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,664998827,1171784065,664998827
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,439839256,828854988,439839256
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,481447710,761947621,481447710
China,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,347260063,528096492,347260063
Egypt,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,25040999,94326944,25040999
Egypt,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,34109326,109188380,34109326
Egypt,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,30881743,102636545,30881743
Egypt,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,30807253,103909731,30807253
Egypt,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,21426955,77741946,21426955
El Salvador,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,27600400,81254648,27600400
El Salvador,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,31446908,90814430,31446908
El Salvador,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,39000615,112868218,39000615
El Salvador,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,34647289,94489518,34647289
El Salvador,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,36457799,107527332,36457799
Honduras,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,32643190,111844899,32643190
Honduras,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,48949339,163342238,48949339
Honduras,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,61440742,205260927,61440742
Honduras,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,4,47366852,162995595,47366852
Honduras,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,5,46613819,163973659,46613819
India,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,1,129091925,471762193,129091925
India,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,2,135106500,484525511,135106500
India,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2025,3,153837765,551333492,153837765
